,table,column,bins,table_column
47,lineitem,l_commitdate,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_commitdate
48,lineitem,l_receiptdate,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_receiptdate
49,lineitem,l_shipmode,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_shipmode
50,lineitem,l_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_comment
51,lineitem,l_partkey,"[1.00000000e+00 4.00060000e+04 8.00490000e+04 1.20056060e+05
 1.60096000e+05 2.00047000e+05 2.40103000e+05 2.80134000e+05
 3.20138160e+05 3.60163000e+05 4.00159000e+05 4.40152000e+05
 4.80195000e+05 5.20204000e+05 5.60282000e+05 6.00295000e+05
 6.40326000e+05 6.80334000e+05 7.20284000e+05 7.60218000e+05
 8.00248000e+05 8.40251000e+05 8.80254000e+05 9.20259000e+05
 9.60252000e+05 1.00026400e+06 1.04025500e+06 1.08025400e+06
 1.12025100e+06 1.16022500e+06 1.20029500e+06 1.24022600e+06
 1.28022500e+06 1.32017400e+06 1.36019100e+06 1.40015200e+06
 1.44018100e+06 1.48019000e+06 1.52016500e+06 1.56015400e+06
 1.60014800e+06 1.64012900e+06 1.68018900e+06 1.72013700e+06
 1.76014200e+06 1.80011990e+06 1.84011700e+06 1.88005894e+06
 1.92004000e+06 1.95998598e+06 2.00000000e+06]",lineitem.l_partkey
52,lineitem,l_suppkey,"[1.0000e+00 2.0000e+03 4.0020e+03 6.0020e+03 8.0020e+03 1.0003e+04
 1.2004e+04 1.4006e+04 1.6006e+04 1.8007e+04 2.0007e+04 2.2006e+04
 2.4008e+04 2.6004e+04 2.8003e+04 3.0004e+04 3.2002e+04 3.4003e+04
 3.6004e+04 3.8006e+04 4.0006e+04 4.2008e+04 4.4011e+04 4.6013e+04
 4.8009e+04 5.0006e+04 5.2005e+04 5.4006e+04 5.6009e+04 5.8007e+04
 6.0008e+04 6.2010e+04 6.4008e+04 6.6005e+04 6.8006e+04 7.0006e+04
 7.2007e+04 7.4007e+04 7.6007e+04 7.8007e+04 8.0008e+04 8.2007e+04
 8.4010e+04 8.6006e+04 8.8008e+04 9.0006e+04 9.2005e+04 9.4003e+04
 9.6002e+04 9.8000e+04 1.0000e+05]",lineitem.l_suppkey
53,lineitem,l_linenumber,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2.
 3. 3. 3. 3. 3. 3. 3. 3. 3. 4. 4. 4. 4. 4. 4. 4. 5. 5. 5. 5. 5. 6. 6. 6.
 6. 7. 7.]",lineitem.l_linenumber
54,lineitem,l_quantity,"[ 1.  1.  3.  3.  5.  5.  7.  8.  9. 10. 10. 11. 13. 14. 15. 16. 17. 18.
 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 39. 40. 41. 42. 43. 43. 45. 46. 47. 48. 49. 50. 50.]",lineitem.l_quantity
55,lineitem,l_discount,"[0.   0.   0.   0.   0.   0.01 0.01 0.01 0.01 0.01 0.02 0.02 0.02 0.02
 0.03 0.03 0.03 0.03 0.03 0.04 0.04 0.04 0.04 0.05 0.05 0.05 0.05 0.05
 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.07 0.07 0.08 0.08 0.08 0.08 0.09
 0.09 0.09 0.09 0.09 0.1  0.1  0.1  0.1  0.1 ]",lineitem.l_discount
56,lineitem,l_tax,"[0.   0.   0.   0.   0.   0.   0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.02
 0.02 0.02 0.02 0.03 0.03 0.03 0.03 0.03 0.03 0.04 0.04 0.04 0.04 0.04
 0.05 0.05 0.05 0.05 0.05 0.05 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07
 0.07 0.07 0.07 0.08 0.08 0.08 0.08 0.08 0.08]",lineitem.l_tax
